# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00800 2.51e+07 0.9545130730    0.954  0.036  3.7744  4.432    0  0.000  0.537     0.00     0.00 -1  8.51e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 4.681 5.305 5.324 4.744 4.393 4.079 3.687 3.367 3.337
0.00800 2.51e+07 0.9886363149    0.989  0.076  3.7844  4.447    0  0.000  0.538     0.00     0.00 -1  9.07e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.875e-04 3.520e-03 -1.000 8.000e-03 4.580 5.116 5.172 4.632 4.300 4.000 3.634 3.334 3.308
0.00800 2.51e+07 1.0064986944    1.006  0.097  3.7901  4.456    0  0.000  0.538     0.00     0.00 -1  9.18e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.875e-04 3.520e-03 -1.000 8.000e-03 4.528 5.020 5.093 4.575 4.253 3.962 3.609 3.322 3.297
0.00800 2.51e+07 1.0297968388    1.030  0.109  3.7945  4.472    0  0.000  0.538     0.00     0.00 -1  8.93e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.875e-04 3.519e-03 -1.000 8.000e-03 4.497 4.956 5.043 4.541 4.226 3.942 3.600 3.321 3.298
0.00800 2.51e+07 1.0363636017    1.036  0.116  3.7956  4.472    0  0.000  0.538     0.00     0.00 -1  8.96e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.875e-04 3.519e-03 -1.000 8.000e-03 4.481 4.934 5.022 4.524 4.211 3.929 3.590 3.312 3.290
0.00800 2.51e+07 1.0660399199    1.065  0.141  3.7999  4.477    0  0.000  0.538     0.00     0.00 -1  8.88e-14      0.00 7.291e-01 2.629e-01 1.419e-03 3.875e-04 3.519e-03 -1.000 7.974e-03 4.419 4.845 4.942 4.459 4.154 3.878 3.549 3.281 3.259
0.00800 2.51e+07 1.0840909481    1.083  0.166  3.8029  4.470    0  0.000  0.538     0.00     0.00 -1  9.12e-14      0.00 7.291e-01 2.629e-01 1.419e-03 3.874e-04 3.519e-03 -1.000 7.974e-03 4.355 4.764 4.865 4.394 4.094 3.822 3.501 3.238 3.217
0.00800 2.51e+07 1.1132148504    1.113  0.201  3.8074  4.465    0  0.000  0.538     0.00     0.00 -1  9.31e-14      0.00 7.291e-01 2.629e-01 1.419e-03 3.874e-04 3.519e-03 -1.000 8.000e-03 4.268 4.650 4.758 4.303 4.011 3.747 3.436 3.182 3.163
0.00800 2.51e+07 1.1318181753    1.131  0.236  3.8110  4.452    0  0.000  0.538     0.00     0.00 -1  9.84e-14      0.00 7.291e-01 2.629e-01 1.419e-03 3.874e-04 3.519e-03 -1.000 7.997e-03 4.180 4.546 4.656 4.213 3.928 3.670 3.367 3.121 3.102
0.00800 2.51e+07 1.1795454025    1.179  0.321  3.8201  4.421    0  0.000  0.538     0.00     0.00 -1  1.11e-13      0.00 7.292e-01 2.628e-01 1.419e-03 3.874e-04 3.518e-03 -1.000 8.000e-03 3.968 4.293 4.407 3.995 3.727 3.483 3.202 2.973 2.957
0.00800 2.51e+07 1.2272726297    1.227  0.401  3.8293  4.395    0  0.000  0.538     0.00     0.00 -1  1.22e-13      0.00 7.292e-01 2.628e-01 1.419e-03 3.874e-04 3.518e-03 -1.000 8.000e-03 3.768 4.062 4.172 3.789 3.538 3.309 3.049 2.839 2.825
0.00800 2.51e+07 1.2749998569    1.275  0.483  3.8403  4.374    0  0.000  0.538     0.00     0.00 -1  1.34e-13      0.00 7.292e-01 2.628e-01 1.418e-03 3.873e-04 3.518e-03 -1.000 8.000e-03 3.562 3.824 3.927 3.576 3.346 3.136 2.901 2.713 2.700
0.00800 2.51e+07 1.3227273226    1.323  0.561  3.8534  4.364    0  0.000  0.538     0.00     0.00 -1  1.41e-13      0.00 7.292e-01 2.628e-01 1.418e-03 3.873e-04 3.518e-03 -1.000 8.000e-03 3.368 3.601 3.689 3.375 3.169 2.982 2.776 2.614 2.602
0.00800 2.51e+07 1.3263436556    1.326  0.566  3.8546  4.365    0  0.000  0.538     0.00     0.00 -1  1.41e-13      0.00 7.292e-01 2.628e-01 1.418e-03 3.873e-04 3.518e-03 -1.000 8.000e-03 3.354 3.585 3.672 3.360 3.157 2.972 2.768 2.608 2.597
0.00800 2.51e+07 1.3704545498    1.371  0.630  3.8664  4.362    0  0.000  0.538     0.00     0.00 -1  1.42e-13      0.00 7.292e-01 2.628e-01 1.419e-03 3.873e-04 3.518e-03 -1.000 7.999e-03 3.195 3.407 3.477 3.195 3.015 2.850 2.673 2.535 2.526
0.00800 2.51e+07 1.4181818962    1.419  0.696  3.8804  4.368    0  0.000  0.538     0.00     0.00 -1  1.38e-13      0.00 7.293e-01 2.627e-01 1.419e-03 3.873e-04 3.517e-03 -1.000 7.997e-03 3.031 3.228 3.275 3.027 2.873 2.735 2.587 2.475 2.467
0.00800 2.51e+07 1.4659091234    1.466  0.757  3.8947  4.378    0  0.000  0.538     0.00     0.00 -1  1.28e-13      0.00 7.293e-01 2.628e-01 1.418e-03 3.873e-04 3.517e-03 -1.000 7.968e-03 2.877 3.063 3.087 2.872 2.746 2.634 2.515 2.428 2.420
0.00800 2.51e+07 1.5136363506    1.514  0.817  3.9086  4.388    0  0.000  0.538     0.00     0.00 -1  1.14e-13      0.00 7.293e-01 2.628e-01 1.418e-03 3.872e-04 3.517e-03 -1.000 7.927e-03 2.728 2.904 2.908 2.726 2.627 2.540 2.448 2.382 2.376
